Property,a7,a8,a4,a2,a6,a1,Result
Property_1,0,0,0,0,0,0,0
Property_1,0,0,0,0,0,1,100
Property_1,0,0,0,0,0,2,0
Property_1,0,0,0,0,1,0,30
Property_1,0,0,0,0,1,1,130
Property_1,0,0,0,0,1,2,30
Property_1,0,0,0,0,2,0,0
Property_1,0,0,0,0,2,1,100
Property_1,0,0,0,0,2,2,0
Property_1,0,0,0,1,0,0,500
Property_1,0,0,0,1,0,1,600
Property_1,0,0,0,1,0,2,500
Property_1,0,0,0,1,1,0,530
Property_1,0,0,0,1,1,1,630
Property_1,0,0,0,1,1,2,530
Property_1,0,0,0,1,2,0,500
Property_1,0,0,0,1,2,1,600
Property_1,0,0,0,1,2,2,500
Property_1,0,0,0,2,0,0,0
Property_1,0,0,0,2,0,1,100
Property_1,0,0,0,2,0,2,0
Property_1,0,0,0,2,1,0,30
Property_1,0,0,0,2,1,1,130
Property_1,0,0,0,2,1,2,30
Property_1,0,0,0,2,2,0,0
Property_1,0,0,0,2,2,1,100
Property_1,0,0,0,2,2,2,0
Property_1,0,0,1,0,0,0,50
Property_1,0,0,1,0,0,1,150
Property_1,0,0,1,0,0,2,50
Property_1,0,0,1,0,1,0,80
Property_1,0,0,1,0,1,1,180
Property_1,0,0,1,0,1,2,80
Property_1,0,0,1,0,2,0,50
Property_1,0,0,1,0,2,1,150
Property_1,0,0,1,0,2,2,50
Property_1,0,0,1,1,0,0,550
Property_1,0,0,1,1,0,1,650
Property_1,0,0,1,1,0,2,550
Property_1,0,0,1,1,1,0,580
Property_1,0,0,1,1,1,1,680
Property_1,0,0,1,1,1,2,580
Property_1,0,0,1,1,2,0,550
Property_1,0,0,1,1,2,1,650
Property_1,0,0,1,1,2,2,550
Property_1,0,0,1,2,0,0,50
Property_1,0,0,1,2,0,1,150
Property_1,0,0,1,2,0,2,50
Property_1,0,0,1,2,1,0,80
Property_1,0,0,1,2,1,1,180
Property_1,0,0,1,2,1,2,80
Property_1,0,0,1,2,2,0,50
Property_1,0,0,1,2,2,1,150
Property_1,0,0,1,2,2,2,50
Property_1,0,0,2,0,0,0,0
Property_1,0,0,2,0,0,1,100
Property_1,0,0,2,0,0,2,0
Property_1,0,0,2,0,1,0,30
Property_1,0,0,2,0,1,1,130
Property_1,0,0,2,0,1,2,30
Property_1,0,0,2,0,2,0,0
Property_1,0,0,2,0,2,1,100
Property_1,0,0,2,0,2,2,0
Property_1,0,0,2,1,0,0,500
Property_1,0,0,2,1,0,1,600
Property_1,0,0,2,1,0,2,500
Property_1,0,0,2,1,1,0,530
Property_1,0,0,2,1,1,1,630
Property_1,0,0,2,1,1,2,530
Property_1,0,0,2,1,2,0,500
Property_1,0,0,2,1,2,1,600
Property_1,0,0,2,1,2,2,500
Property_1,0,0,2,2,0,0,0
Property_1,0,0,2,2,0,1,100
Property_1,0,0,2,2,0,2,0
Property_1,0,0,2,2,1,0,30
