action	step	sched	DataExfiltration	WebReconSuccesful	AccesstoMySQL	AccesstoReverseShell	AccesstoExecuteArbitraryCode	AccesstoSensitiveFiles	WebserverPubliclyExposed	SOCKS5ProxyActive	CGIscriptsenabled	MisconfiguredApache	VulnerableApacheHTTPServerVersion	UnencryptedFiles	progressexfiltrateData	progressbufferOverflow	progressgetFiles	progresswebRecon	progresspathTraversal	progressgetLoginData	time1	progressencryptFile	progressupdateApache	progresschangeFilePermissions	progressdeactivateSOCKS5Proxy	progresschangeCredentials	progressdisableCGIScripts	progressreconfigureApache	time2	state_reward1	transition_reward1	state_reward2	transition_reward2
-	0	1	0	0	0	0	0	0	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-1	0	5	0	0
[startwebRecon]	1	2	0	0	0	0	0	0	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-1	0	0	0	120
[startdeactivateSOCKS5Proxy]	2	1	0	0	0	0	0	0	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1	0	0	0	0
[wait1]	3	2	0	0	0	0	0	0	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1	0	0	0	0
[wait2]	4	1	0	0	0	0	0	0	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	0	0
[endwebRecon]	5	1	0	1	0	0	0	0	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	40	0	0
[startbufferOverflow]	6	2	0	1	0	0	0	0	1	1	1	1	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	0	0
[enddeactivateSOCKS5Proxy]	7	2	0	1	0	0	0	0	1	2	1	1	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-1	0	0	0	150
[startencryptFile]	8	1	0	1	0	0	0	0	1	2	1	1	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5	0	0	0	0
[wait1]	9	2	0	1	0	0	0	0	1	2	1	1	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5	0	0	0	0
