action,step,sched,DataExfiltration,WebReconSuccesful,AccesstoMySQL,AccesstoReverseShell,AccesstoExecuteArbitraryCode,AccesstoSensitiveFiles,WebserverPubliclyExposed,SOCKS5ProxyActive,CGIscriptsenabled,MisconfiguredApache,VulnerableApacheHTTPServerVersion,UnencryptedFiles,progressexfiltrateData,progressbufferOverflow,progressgetFiles,progresswebRecon,progresspathTraversal,progressgetLoginData,time1,progressencryptFile,progressupdateApache,progresschangeFilePermissions,progressdeactivateSOCKS5Proxy,progresschangeCredentials,progressdisableCGIScripts,progressreconfigureApache,time2,state_reward1,transition_reward1,state_reward2,transition_reward2
-,0,1,0,0,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,5,0,0.0
[startwebRecon],1,2,0,0,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0.0,0,20.0
[startupdateApache],2,1,0,0,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,0,0.0,0,0.0
[wait1],3,2,0,0,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,0,0.0,0,0.0
[wait2],4,1,0,0,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19,0,0.0,0,0.0
[endwebRecon],5,1,0,1,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19,0,20.0,0,0.0
[startpathTraversal],6,2,0,1,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19,0,0.0,0,0.0
[wait2],7,1,0,1,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,0,0.0,0,0.0
[wait1],8,2,0,1,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,0,0.0,0,0.0
[wait2],9,1,0,1,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17,0,0.0,0,0.0
[wait1],10,2,0,1,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17,0,0.0,0,0.0
