a6,a4,a8,a2,a7,a1,Result
0,0,0,0,0,0,0
0,0,0,0,0,1,100
0,0,0,0,0,2,0
0,0,0,0,1,0,40
0,0,0,0,1,1,140
0,0,0,0,1,2,40
0,0,0,0,2,0,0
0,0,0,0,2,1,100
0,0,0,0,2,2,0
0,0,0,1,0,0,500
0,0,0,1,0,1,600
0,0,0,1,0,2,500
0,0,0,1,1,0,540
0,0,0,1,1,1,640
0,0,0,1,1,2,540
0,0,0,1,2,0,500
0,0,0,1,2,1,600
0,0,0,1,2,2,500
0,0,0,2,0,0,0
0,0,0,2,0,1,100
0,0,0,2,0,2,0
0,0,0,2,1,0,40
0,0,0,2,1,1,140
0,0,0,2,1,2,40
0,0,0,2,2,0,0
0,0,0,2,2,1,100
0,0,0,2,2,2,0
0,0,1,0,0,0,20
0,0,1,0,0,1,120
0,0,1,0,0,2,20
0,0,1,0,1,0,60
0,0,1,0,1,1,160
0,0,1,0,1,2,60
0,0,1,0,2,0,20
0,0,1,0,2,1,120
0,0,1,0,2,2,20
0,0,1,1,0,0,520
0,0,1,1,0,1,620
0,0,1,1,0,2,520
0,0,1,1,1,0,560
0,0,1,1,1,1,660
0,0,1,1,1,2,560
0,0,1,1,2,0,520
0,0,1,1,2,1,620
0,0,1,1,2,2,520
0,0,1,2,0,0,20
0,0,1,2,0,1,120
0,0,1,2,0,2,20
0,0,1,2,1,0,60
0,0,1,2,1,1,160
0,0,1,2,1,2,60
0,0,1,2,2,0,20
0,0,1,2,2,1,120
0,0,1,2,2,2,20
0,0,2,0,0,0,0
0,0,2,0,0,1,100
0,0,2,0,0,2,0
0,0,2,0,1,0,40
0,0,2,0,1,1,140
0,0,2,0,1,2,40
0,0,2,0,2,0,0
0,0,2,0,2,1,100
0,0,2,0,2,2,0
0,0,2,1,0,0,500
0,0,2,1,0,1,600
0,0,2,1,0,2,500
0,0,2,1,1,0,540
0,0,2,1,1,1,640
0,0,2,1,1,2,540
0,0,2,1,2,0,500
0,0,2,1,2,1,600
0,0,2,1,2,2,500
0,0,2,2,0,0,0
0,0,2,2,0,1,100
0,0,2,2,0,2,0
0,0,2,2,1,0,40
0,0,2,2,1,1,140
0,0,2,2,1,2,40
0,0,2,2,2,0,0
0,0,2,2,2,1,100
0,0,2,2,2,2,0
0,1,0,0,0,0,50
0,1,0,0,0,1,150
0,1,0,0,0,2,50
0,1,0,0,1,0,90
0,1,0,0,1,1,190
0,1,0,0,1,2,90
0,1,0,0,2,0,50
0,1,0,0,2,1,150
0,1,0,0,2,2,50
0,1,0,1,0,0,550
0,1,0,1,0,1,650
0,1,0,1,0,2,550
0,1,0,1,1,0,590
0,1,0,1,1,1,690
0,1,0,1,1,2,590
0,1,0,1,2,0,550
0,1,0,1,2,1,650
0,1,0,1,2,2,550
0,1,0,2,0,0,50
0,1,0,2,0,1,150
0,1,0,2,0,2,50
0,1,0,2,1,0,90
0,1,0,2,1,1,190
0,1,0,2,1,2,90
0,1,0,2,2,0,50
0,1,0,2,2,1,150
0,1,0,2,2,2,50
0,1,1,0,0,0,70
0,1,1,0,0,1,170
0,1,1,0,0,2,70
0,1,1,0,1,0,110
0,1,1,0,1,1,210
0,1,1,0,1,2,110
0,1,1,0,2,0,70
0,1,1,0,2,1,170
0,1,1,0,2,2,70
0,1,1,1,0,0,570
0,1,1,1,0,1,670
0,1,1,1,0,2,570
0,1,1,1,1,0,610
