action,step,sched,root,A_8,A_7,A_1,A_2,A_4,A_6,A_3,progressa8,progressa2,progressa9,progressa7,progressa6,progressa1,progressa11,progressa10,progressa5,progressa4,time1,progressc4,progressc2,progressc8,progressc1,progressc3,progressc6,progressc7,time2,state_reward1,transition_reward1,state_reward2,transition_reward2
-,0,1,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,500,0,0
[starta5],1,2,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,0,500
[startc2],2,1,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
[wait1],3,2,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
[wait2],4,1,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
[wait1],5,2,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
[wait2],6,1,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
[enda5],7,1,0,0,0,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,100,0,0
[starta9],8,2,0,0,0,0,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
[endc2],9,2,0,0,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,0,50
[startc4],10,1,0,0,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0
[wait1],11,2,0,0,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0
[wait2],12,1,0,0,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
[enda9],13,1,0,0,0,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,30,0,0
[starta10],14,2,0,0,0,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
[wait2],15,1,0,0,0,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
[wait1],16,2,0,0,0,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
[wait2],17,1,0,0,0,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
[enda10],18,1,0,0,1,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,10,0,0
[starta11],19,2,0,0,1,0,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
[endc4],20,2,0,0,1,0,2,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,0,20
[startc8],21,1,0,0,1,0,2,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
[wait1],22,2,0,0,1,0,2,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
[wait2],23,1,0,0,1,0,2,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
